Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Boeuf bourguignon,"Poivrons, Huile végétale, Oeufs, Escargots","Poivrons, Huile végétale, Oeufs, Escargots","Oeufs, Mollusques"
Rôti de porc,"Céleri, Pain, Boeuf haché, Escargots","Céleri, Pain, Boeuf haché, Escargots","Gluten, Mollusques, Céleri"
Raclette,"Escargots, Crème fraîche, Beurre","Escargots, Crème fraîche, Beurre","Lait, Mollusques"
Salade César,"Moutarde, Oeufs, Poulet, Noisettes, Lait, Escargots","Moutarde, Oeufs, Poulet, Noisettes, Lait, Escargots","Fruits à coque, Oeufs, Lait, Moutarde, Mollusques"
Raclette,"Huile végétale, Poisson, Pommes de terre","Huile végétale, Poisson, Pommes de terre",Poisson
Pâté chinois,"Poulet, Noix de cajou, Oignons","Poulet, Noix de cajou, Oignons",Fruits à coque
Filet de saumon,"Sésame, Crevettes, Pommes de terre","Sésame, Crevettes, Pommes de terre","Graines de sésame, Crustacés"
Magret de canard,"Crevettes, Oeufs, Sauce soja, Poulet","Crevettes, Oeufs, Sauce soja, Poulet","Oeufs, Soja, Crustacés"
Tourtière,"Céleri, Huile végétale, Noisettes, Crevettes","Céleri, Huile végétale, Noisettes, Crevettes","Fruits à coque, Céleri, Crustacés"
Salade niçoise,"Arachides, Noisettes, Boeuf haché, Lait, Sauce soja","Arachides, Noisettes, Boeuf haché, Lait, Sauce soja","Fruits à coque, Arachides, Lait, Soja"
Escargots à l'ail,"Sésame, Poulet, Tomates, Poisson, Farine de blé","Sésame, Poulet, Tomates, Poisson, Farine de blé","Gluten, Graines de sésame, Poisson"
Moules-frites,"Lait, Escargots, Pommes de terre","Lait, Escargots, Pommes de terre","Lait, Mollusques"
Macarons,"Pâtes alimentaires, Huile végétale, Fromage en grains","Pâtes alimentaires, Huile végétale, Fromage en grains","Gluten, Lait"
Poutine classique,"Huile végétale, Vanille, Moutarde, Tomates, Céleri, Poivrons","Huile végétale, Vanille, Moutarde, Tomates, Céleri, Poivrons","Moutarde, Céleri"
Soupe aux pois,"Sauce soja, Arachides, Vanille, Crème fraîche, Poivrons","Sauce soja, Arachides, Vanille, Crème fraîche, Poivrons","Arachides, Lait, Soja"
Moules-frites,"Beurre, Escargots, Poulet, Pâtes alimentaires, Arachides, Sésame","Beurre, Escargots, Poulet, Pâtes alimentaires, Arachides, Sésame","Graines de sésame, Arachides, Lait, Gluten, Mollusques"
Filet de saumon,"Escargots, Poivrons, Sésame, Champignons, Noix de cajou, Crème fraîche","Escargots, Poivrons, Sésame, Champignons, Noix de cajou, Crème fraîche","Fruits à coque, Graines de sésame, Lait, Mollusques"
Hamburger steak,"Fromage en grains, Céleri, Pâtes alimentaires","Fromage en grains, Céleri, Pâtes alimentaires","Gluten, Lait, Céleri"
Salade niçoise,"Moutarde, Vanille, Boeuf haché, Poisson, Noisettes","Moutarde, Vanille, Boeuf haché, Poisson, Noisettes","Moutarde, Fruits à coque, Poisson"
Boeuf stroganoff,"Beurre, Sauce brune, Huile végétale, Tomates","Beurre, Sauce brune, Huile végétale, Tomates","Gluten, Lait"
Salade César,"Farine de blé, Pain, Noisettes, Huile végétale","Farine de blé, Pain, Noisettes, Huile végétale","Fruits à coque, Gluten"
Omelette au fromage,"Beurre, Carottes, Sésame","Beurre, Carottes, Sésame","Graines de sésame, Lait"
Quiche lorraine,"Crème fraîche, Crevettes, Chocolat noir","Crème fraîche, Crevettes, Chocolat noir","Lait, Crustacés"
Pot-au-feu,"Poulet, Escargots, Pâtes alimentaires, Carottes","Poulet, Escargots, Pâtes alimentaires, Carottes","Gluten, Mollusques"
Boeuf stroganoff,"Crème fraîche, Vanille, Tomates, Oeufs, Chocolat noir, Huile végétale","Crème fraîche, Vanille, Tomates, Oeufs, Chocolat noir, Huile végétale","Oeufs, Lait"
Éclair au café,"Moutarde, Carottes, Lait, Huile végétale","Moutarde, Carottes, Lait, Huile végétale","Moutarde, Lait"
Rôti de porc,"Moutarde, Tomates, Noisettes, Pommes de terre, Pain","Moutarde, Tomates, Noisettes, Pommes de terre, Pain","Moutarde, Gluten, Fruits à coque"
Spaghetti carbonara,"Poisson, Lait, Pommes de terre","Poisson, Lait, Pommes de terre","Lait, Poisson"
Boeuf bourguignon,"Oeufs, Huile végétale, Moutarde","Oeufs, Huile végétale, Moutarde","Moutarde, Oeufs"
Boeuf bourguignon,"Céleri, Farine de blé, Tomates, Boeuf haché","Céleri, Farine de blé, Tomates, Boeuf haché","Gluten, Céleri"
Crème brûlée,"Champignons, Carottes, Sauce soja, Noisettes","Champignons, Carottes, Sauce soja, Noisettes","Fruits à coque, Soja"
Filet de saumon,"Noisettes, Escargots, Pâtes alimentaires","Noisettes, Escargots, Pâtes alimentaires","Fruits à coque, Gluten, Mollusques"
Fèves au lard,"Boeuf haché, Beurre, Farine de blé, Arachides","Boeuf haché, Beurre, Farine de blé, Arachides","Gluten, Arachides, Lait"
Pâté chinois,"Chocolat noir, Sésame, Boeuf haché, Sauce brune, Escargots, Arachides","Chocolat noir, Sésame, Boeuf haché, Sauce brune, Escargots, Arachides","Gluten, Graines de sésame, Mollusques, Arachides"
Pâté chinois,"Noix de cajou, Beurre, Pâtes alimentaires, Vanille, Lait","Noix de cajou, Beurre, Pâtes alimentaires, Vanille, Lait","Fruits à coque, Gluten, Lait"
Chili con carne,"Oeufs, Escargots, Pommes de terre, Oignons, Crème fraîche, Moutarde","Oeufs, Escargots, Pommes de terre, Oignons, Crème fraîche, Moutarde","Moutarde, Oeufs, Lait, Mollusques"
Boeuf bourguignon,"Noisettes, Beurre, Poulet, Farine de blé, Noix de cajou","Noisettes, Beurre, Poulet, Farine de blé, Noix de cajou","Fruits à coque, Gluten, Lait"
Quiche lorraine,"Sauce soja, Vanille, Arachides","Sauce soja, Vanille, Arachides","Arachides, Soja"
Salade niçoise,"Oeufs, Poisson, Céleri, Poivrons, Beurre","Oeufs, Poisson, Céleri, Poivrons, Beurre","Oeufs, Lait, Céleri, Poisson"
Raclette,"Boeuf haché, Carottes, Arachides, Poulet","Boeuf haché, Carottes, Arachides, Poulet",Arachides
Soupe à l'oignon,"Chocolat noir, Tomates, Farine de blé, Lait","Chocolat noir, Tomates, Farine de blé, Lait","Gluten, Lait"
Croque-monsieur,"Oeufs, Farine de blé, Pommes de terre, Beurre, Céleri, Huile végétale","Oeufs, Farine de blé, Pommes de terre, Beurre, Céleri, Huile végétale","Oeufs, Gluten, Lait, Céleri"
Filet de saumon,"Champignons, Oeufs, Pâtes alimentaires, Vanille","Champignons, Oeufs, Pâtes alimentaires, Vanille","Oeufs, Gluten"
Chili con carne,"Huile végétale, Beurre, Crevettes, Poulet, Vanille, Sauce soja","Huile végétale, Beurre, Crevettes, Poulet, Vanille, Sauce soja","Lait, Soja, Crustacés"
Salade César,"Moutarde, Poivrons, Poisson, Céleri, Huile végétale","Moutarde, Poivrons, Poisson, Céleri, Huile végétale","Moutarde, Céleri, Poisson"
Magret de canard,"Poivrons, Sauce brune, Oignons, Pommes de terre","Poivrons, Sauce brune, Oignons, Pommes de terre",Gluten
Soupe aux pois,"Pommes de terre, Oeufs, Escargots, Sésame","Pommes de terre, Oeufs, Escargots, Sésame","Oeufs, Graines de sésame, Mollusques"
Boeuf stroganoff,"Sauce soja, Pommes de terre, Champignons, Pâtes alimentaires, Escargots","Sauce soja, Pommes de terre, Champignons, Pâtes alimentaires, Escargots","Gluten, Mollusques, Soja"
Ratatouille,"Chocolat noir, Champignons, Crème fraîche","Chocolat noir, Champignons, Crème fraîche",Lait
Tarte au sucre,"Beurre, Noix de cajou, Poivrons, Huile végétale","Beurre, Noix de cajou, Poivrons, Huile végétale","Fruits à coque, Lait"
Poulet à la crème,"Oeufs, Champignons, Noisettes, Moutarde, Céleri","Oeufs, Champignons, Noisettes, Moutarde, Céleri","Fruits à coque, Oeufs, Moutarde, Céleri"
Fondue au fromage,"Sésame, Tomates, Noix de cajou, Pommes de terre, Farine de blé, Sauce soja","Sésame, Tomates, Noix de cajou, Pommes de terre, Farine de blé, Sauce soja","Fruits à coque, Gluten, Graines de sésame, Soja"
Chili con carne,"Crevettes, Champignons, Boeuf haché, Farine de blé, Crème fraîche","Crevettes, Champignons, Boeuf haché, Farine de blé, Crème fraîche","Gluten, Lait, Crustacés"
Filet de saumon,"Arachides, Vanille, Moutarde, Huile végétale","Arachides, Vanille, Moutarde, Huile végétale","Moutarde, Arachides"
Poulet rôti,"Lait, Crevettes, Sauce soja, Arachides, Chocolat noir, Pommes de terre","Lait, Crevettes, Sauce soja, Arachides, Chocolat noir, Pommes de terre","Arachides, Lait, Soja, Crustacés"
Boeuf bourguignon,"Noix de cajou, Vanille, Farine de blé, Fromage en grains","Noix de cajou, Vanille, Farine de blé, Fromage en grains","Fruits à coque, Gluten, Lait"
Éclair au café,"Tomates, Noix de cajou, Crème fraîche, Lait, Pain","Tomates, Noix de cajou, Crème fraîche, Lait, Pain","Fruits à coque, Gluten, Lait"
Fèves au lard,"Oeufs, Pâtes alimentaires, Chocolat noir, Boeuf haché, Crème fraîche, Moutarde","Oeufs, Pâtes alimentaires, Chocolat noir, Boeuf haché, Crème fraîche, Moutarde","Moutarde, Oeufs, Gluten, Lait"
Poulet à la crème,"Lait, Escargots, Poisson, Noisettes, Sésame, Poivrons","Lait, Escargots, Poisson, Noisettes, Sésame, Poivrons","Fruits à coque, Graines de sésame, Lait, Poisson, Mollusques"
Pain doré,"Sésame, Beurre, Lait, Chocolat noir","Sésame, Beurre, Lait, Chocolat noir","Graines de sésame, Lait"
Cassoulet,"Fromage en grains, Pâtes alimentaires, Farine de blé, Arachides","Fromage en grains, Pâtes alimentaires, Farine de blé, Arachides","Gluten, Arachides, Lait"
Cassoulet,"Sauce brune, Noisettes, Sésame, Crème fraîche, Huile végétale, Vanille","Sauce brune, Noisettes, Sésame, Crème fraîche, Huile végétale, Vanille","Fruits à coque, Gluten, Graines de sésame, Lait"
Magret de canard,"Poivrons, Crevettes, Noix de cajou, Pain, Lait","Poivrons, Crevettes, Noix de cajou, Pain, Lait","Fruits à coque, Gluten, Lait, Crustacés"
Éclair au café,"Arachides, Sésame, Pommes de terre, Noix de cajou, Céleri, Poivrons","Arachides, Sésame, Pommes de terre, Noix de cajou, Céleri, Poivrons","Fruits à coque, Arachides, Graines de sésame, Céleri"
Crêpes sucrées,"Escargots, Pommes de terre, Arachides","Escargots, Pommes de terre, Arachides","Arachides, Mollusques"
Saucisses et purée,"Céleri, Crème fraîche, Vanille, Sésame","Céleri, Crème fraîche, Vanille, Sésame","Graines de sésame, Lait, Céleri"
Magret de canard,"Oeufs, Noisettes, Escargots","Oeufs, Noisettes, Escargots","Fruits à coque, Oeufs, Mollusques"
Coquilles Saint-Jacques,"Crème fraîche, Oignons, Fromage en grains","Crème fraîche, Oignons, Fromage en grains",Lait
Gâteau au chocolat,"Fromage en grains, Carottes, Beurre, Crevettes, Moutarde","Fromage en grains, Carottes, Beurre, Crevettes, Moutarde","Moutarde, Lait, Crustacés"
Quiche lorraine,"Escargots, Lait, Pain","Escargots, Lait, Pain","Gluten, Lait, Mollusques"
Poulet à la crème,"Carottes, Tomates, Fromage en grains, Poivrons, Pain","Carottes, Tomates, Fromage en grains, Poivrons, Pain","Gluten, Lait"
Gâteau au chocolat,"Fromage en grains, Oignons, Carottes","Fromage en grains, Oignons, Carottes",Lait
Lasagne bolognaise,"Noisettes, Sauce soja, Arachides, Boeuf haché, Tomates","Noisettes, Sauce soja, Arachides, Boeuf haché, Tomates","Fruits à coque, Arachides, Soja"
Magret de canard,"Pain, Sésame, Boeuf haché, Pommes de terre, Poulet","Pain, Sésame, Boeuf haché, Pommes de terre, Poulet","Gluten, Graines de sésame"
Crêpes sucrées,"Arachides, Vanille, Poulet","Arachides, Vanille, Poulet",Arachides
Soupe aux pois,"Chocolat noir, Beurre, Sauce soja, Carottes, Poivrons, Oeufs","Chocolat noir, Beurre, Sauce soja, Carottes, Poivrons, Oeufs","Oeufs, Lait, Soja"
Pizza au fromage,"Sésame, Carottes, Crevettes, Vanille, Farine de blé","Sésame, Carottes, Crevettes, Vanille, Farine de blé","Gluten, Graines de sésame, Crustacés"
Quiche lorraine,"Poivrons, Carottes, Sésame, Pain","Poivrons, Carottes, Sésame, Pain","Gluten, Graines de sésame"
Cassoulet,"Fromage en grains, Moutarde, Sauce soja, Noisettes","Fromage en grains, Moutarde, Sauce soja, Noisettes","Moutarde, Lait, Fruits à coque, Soja"
Fondue au fromage,"Poivrons, Escargots, Carottes, Oignons","Poivrons, Escargots, Carottes, Oignons",Mollusques
Pain doré,"Lait, Arachides, Céleri, Pommes de terre, Vanille, Pain","Lait, Arachides, Céleri, Pommes de terre, Vanille, Pain","Gluten, Arachides, Lait, Céleri"
Salade niçoise,"Pâtes alimentaires, Champignons, Beurre, Noisettes, Arachides, Céleri","Pâtes alimentaires, Champignons, Beurre, Noisettes, Arachides, Céleri","Fruits à coque, Céleri, Arachides, Lait, Gluten"
Saucisses et purée,"Crevettes, Poulet, Huile végétale","Crevettes, Poulet, Huile végétale",Crustacés
Fèves au lard,"Poulet, Noix de cajou, Carottes, Huile végétale, Sauce soja","Poulet, Noix de cajou, Carottes, Huile végétale, Sauce soja","Fruits à coque, Soja"
Pizza au fromage,"Tomates, Champignons, Carottes, Oignons, Poivrons, Sauce soja","Tomates, Champignons, Carottes, Oignons, Poivrons, Sauce soja",Soja
Quiche lorraine,"Pain, Pommes de terre, Noix de cajou","Pain, Pommes de terre, Noix de cajou","Fruits à coque, Gluten"
Boeuf bourguignon,"Farine de blé, Crevettes, Noisettes","Farine de blé, Crevettes, Noisettes","Fruits à coque, Gluten, Crustacés"
Poutine classique,"Beurre, Sauce soja, Oeufs","Beurre, Sauce soja, Oeufs","Oeufs, Lait, Soja"
Poutine classique,"Sauce soja, Sésame, Huile végétale","Sauce soja, Sésame, Huile végétale","Graines de sésame, Soja"
Salade César,"Oeufs, Pâtes alimentaires, Noisettes, Céleri","Oeufs, Pâtes alimentaires, Noisettes, Céleri","Fruits à coque, Oeufs, Gluten, Céleri"
Pain doré,"Poulet, Oeufs, Sauce soja, Céleri, Crevettes","Poulet, Oeufs, Sauce soja, Céleri, Crevettes","Oeufs, Crustacés, Céleri, Soja"
Escargots à l'ail,"Pommes de terre, Pain, Poulet, Chocolat noir, Oignons","Pommes de terre, Pain, Poulet, Chocolat noir, Oignons",Gluten
Coquilles Saint-Jacques,"Noix de cajou, Poulet, Arachides, Moutarde","Noix de cajou, Poulet, Arachides, Moutarde","Fruits à coque, Moutarde, Arachides"
Saucisses et purée,"Sauce soja, Sésame, Chocolat noir, Lait","Sauce soja, Sésame, Chocolat noir, Lait","Graines de sésame, Lait, Soja"
Ratatouille,"Oeufs, Poulet, Pâtes alimentaires, Noix de cajou","Oeufs, Poulet, Pâtes alimentaires, Noix de cajou","Fruits à coque, Oeufs, Gluten"
Soupe aux pois,"Sésame, Noix de cajou, Crème fraîche","Sésame, Noix de cajou, Crème fraîche","Fruits à coque, Graines de sésame, Lait"
Profiteroles,"Poulet, Crevettes, Vanille","Poulet, Crevettes, Vanille",Crustacés
Gâteau au chocolat,"Céleri, Oeufs, Pommes de terre, Carottes, Crevettes","Céleri, Oeufs, Pommes de terre, Carottes, Crevettes","Oeufs, Céleri, Crustacés"
Boeuf stroganoff,"Noisettes, Huile végétale, Champignons, Noix de cajou, Pommes de terre","Noisettes, Huile végétale, Champignons, Noix de cajou, Pommes de terre",Fruits à coque
Boeuf stroganoff,"Moutarde, Vanille, Carottes","Moutarde, Vanille, Carottes",Moutarde
Salade niçoise,"Chocolat noir, Vanille, Noix de cajou, Arachides, Oeufs","Chocolat noir, Vanille, Noix de cajou, Arachides, Oeufs","Fruits à coque, Oeufs, Arachides"
Boeuf bourguignon,"Noisettes, Poivrons, Arachides, Beurre, Noix de cajou","Noisettes, Poivrons, Arachides, Beurre, Noix de cajou","Fruits à coque, Arachides, Lait"
Crêpes sucrées,"Oeufs, Boeuf haché, Moutarde","Oeufs, Boeuf haché, Moutarde","Moutarde, Oeufs"
Escargots à l'ail,"Noix de cajou, Pâtes alimentaires, Sauce brune, Tomates","Noix de cajou, Pâtes alimentaires, Sauce brune, Tomates","Fruits à coque, Gluten"
Omelette au fromage,"Sauce brune, Beurre, Sauce soja","Sauce brune, Beurre, Sauce soja","Gluten, Lait, Soja"
Poulet à la crème,"Poulet, Pain, Farine de blé, Oeufs, Pâtes alimentaires, Boeuf haché","Poulet, Pain, Farine de blé, Oeufs, Pâtes alimentaires, Boeuf haché","Gluten, Oeufs"
Moules-frites,"Pommes de terre, Poisson, Carottes, Sésame, Crème fraîche","Pommes de terre, Poisson, Carottes, Sésame, Crème fraîche","Graines de sésame, Lait, Poisson"
Raclette,"Crevettes, Tomates, Oeufs, Pâtes alimentaires","Crevettes, Tomates, Oeufs, Pâtes alimentaires","Oeufs, Gluten, Crustacés"
Gâteau au chocolat,"Sésame, Pommes de terre, Moutarde","Sésame, Pommes de terre, Moutarde","Moutarde, Graines de sésame"
Escargots à l'ail,"Noix de cajou, Fromage en grains, Sésame","Noix de cajou, Fromage en grains, Sésame","Fruits à coque, Graines de sésame, Lait"
Coquilles Saint-Jacques,"Poulet, Carottes, Farine de blé","Poulet, Carottes, Farine de blé",Gluten
Poutine classique,"Noisettes, Escargots, Beurre, Vanille, Chocolat noir","Noisettes, Escargots, Beurre, Vanille, Chocolat noir","Fruits à coque, Lait, Mollusques"
Hamburger steak,"Beurre, Crevettes, Sauce soja, Chocolat noir","Beurre, Crevettes, Sauce soja, Chocolat noir","Lait, Soja, Crustacés"
Raclette,"Pommes de terre, Pâtes alimentaires, Fromage en grains, Crème fraîche","Pommes de terre, Pâtes alimentaires, Fromage en grains, Crème fraîche","Gluten, Lait"
Boeuf bourguignon,"Farine de blé, Tomates, Céleri","Farine de blé, Tomates, Céleri","Gluten, Céleri"
Tourtière,"Chocolat noir, Boeuf haché, Oignons, Tomates, Pain, Pommes de terre","Chocolat noir, Boeuf haché, Oignons, Tomates, Pain, Pommes de terre",Gluten
Soupe à l'oignon,"Poulet, Boeuf haché, Poisson, Vanille, Crevettes, Chocolat noir","Poulet, Boeuf haché, Poisson, Vanille, Crevettes, Chocolat noir","Crustacés, Poisson"
Gâteau au chocolat,"Champignons, Sésame, Crème fraîche, Chocolat noir, Noisettes, Arachides","Champignons, Sésame, Crème fraîche, Chocolat noir, Noisettes, Arachides","Fruits à coque, Graines de sésame, Lait, Arachides"
Éclair au café,"Poulet, Arachides, Oignons, Moutarde, Céleri","Poulet, Arachides, Oignons, Moutarde, Céleri","Moutarde, Arachides, Céleri"
Pot-au-feu,"Crevettes, Pommes de terre, Sésame, Vanille, Poivrons","Crevettes, Pommes de terre, Sésame, Vanille, Poivrons","Graines de sésame, Crustacés"
Crème brûlée,"Céleri, Oignons, Boeuf haché, Chocolat noir, Noisettes","Céleri, Oignons, Boeuf haché, Chocolat noir, Noisettes","Fruits à coque, Céleri"
Cassoulet,"Fromage en grains, Champignons, Carottes, Lait","Fromage en grains, Champignons, Carottes, Lait",Lait
Lasagne bolognaise,"Pain, Huile végétale, Pâtes alimentaires, Crevettes","Pain, Huile végétale, Pâtes alimentaires, Crevettes","Gluten, Crustacés"
Lasagne bolognaise,"Crevettes, Céleri, Poivrons","Crevettes, Céleri, Poivrons","Céleri, Crustacés"
Fondue au fromage,"Céleri, Poulet, Chocolat noir, Crème fraîche","Céleri, Poulet, Chocolat noir, Crème fraîche","Lait, Céleri"
Pot-au-feu,"Pommes de terre, Champignons, Pain, Escargots, Farine de blé, Sauce soja","Pommes de terre, Champignons, Pain, Escargots, Farine de blé, Sauce soja","Gluten, Mollusques, Soja"
Poulet rôti,"Sauce soja, Vanille, Beurre, Sauce brune, Noix de cajou","Sauce soja, Vanille, Beurre, Sauce brune, Noix de cajou","Fruits à coque, Gluten, Lait, Soja"
Fondue au fromage,"Oignons, Sauce brune, Céleri","Oignons, Sauce brune, Céleri","Gluten, Céleri"
Ratatouille,"Arachides, Oeufs, Boeuf haché, Céleri, Lait","Arachides, Oeufs, Boeuf haché, Céleri, Lait","Oeufs, Arachides, Lait, Céleri"
Fèves au lard,"Poisson, Sauce soja, Lait, Noix de cajou","Poisson, Sauce soja, Lait, Noix de cajou","Fruits à coque, Lait, Soja, Poisson"
Fondue au fromage,"Farine de blé, Sauce brune, Pommes de terre","Farine de blé, Sauce brune, Pommes de terre",Gluten
Cassoulet,"Oignons, Tomates, Lait","Oignons, Tomates, Lait",Lait
Fondue au fromage,"Huile végétale, Champignons, Lait, Sauce soja, Noix de cajou, Oignons","Huile végétale, Champignons, Lait, Sauce soja, Noix de cajou, Oignons","Fruits à coque, Lait, Soja"
Rôti de porc,"Sauce brune, Noix de cajou, Sauce soja","Sauce brune, Noix de cajou, Sauce soja","Fruits à coque, Gluten, Soja"
Rôti de porc,"Sauce brune, Beurre, Sauce soja, Noisettes","Sauce brune, Beurre, Sauce soja, Noisettes","Fruits à coque, Gluten, Lait, Soja"
Coquilles Saint-Jacques,"Poulet, Pain, Beurre, Crème fraîche, Carottes, Céleri","Poulet, Pain, Beurre, Crème fraîche, Carottes, Céleri","Gluten, Lait, Céleri"
Hamburger steak,"Boeuf haché, Fromage en grains, Huile végétale, Lait, Sauce brune, Poivrons","Boeuf haché, Fromage en grains, Huile végétale, Lait, Sauce brune, Poivrons","Gluten, Lait"
Boeuf bourguignon,"Champignons, Huile végétale, Escargots, Sésame, Vanille","Champignons, Huile végétale, Escargots, Sésame, Vanille","Graines de sésame, Mollusques"
Pot-au-feu,"Oeufs, Fromage en grains, Crème fraîche, Beurre","Oeufs, Fromage en grains, Crème fraîche, Beurre","Oeufs, Lait"
Poulet rôti,"Arachides, Tomates, Carottes, Escargots","Arachides, Tomates, Carottes, Escargots","Arachides, Mollusques"
Raclette,"Poivrons, Pommes de terre, Poulet, Pâtes alimentaires","Poivrons, Pommes de terre, Poulet, Pâtes alimentaires",Gluten
Omelette au fromage,"Sésame, Beurre, Pâtes alimentaires, Oeufs, Champignons, Lait","Sésame, Beurre, Pâtes alimentaires, Oeufs, Champignons, Lait","Gluten, Graines de sésame, Lait, Oeufs"
Escargots à l'ail,"Boeuf haché, Fromage en grains, Sauce soja","Boeuf haché, Fromage en grains, Sauce soja","Lait, Soja"
Poutine classique,"Oeufs, Noisettes, Crevettes, Sauce soja, Crème fraîche, Noix de cajou","Oeufs, Noisettes, Crevettes, Sauce soja, Crème fraîche, Noix de cajou","Fruits à coque, Oeufs, Soja, Lait, Crustacés"
Gâteau au chocolat,"Pommes de terre, Sésame, Huile végétale, Champignons","Pommes de terre, Sésame, Huile végétale, Champignons",Graines de sésame
Hamburger steak,"Tomates, Poivrons, Moutarde, Chocolat noir, Champignons","Tomates, Poivrons, Moutarde, Chocolat noir, Champignons",Moutarde
Chili con carne,"Sauce brune, Beurre, Pâtes alimentaires, Vanille, Chocolat noir, Boeuf haché","Sauce brune, Beurre, Pâtes alimentaires, Vanille, Chocolat noir, Boeuf haché","Gluten, Lait"
Rôti de porc,"Champignons, Oignons, Tomates, Crème fraîche","Champignons, Oignons, Tomates, Crème fraîche",Lait
Macarons,"Vanille, Sésame, Crevettes, Beurre, Escargots, Lait","Vanille, Sésame, Crevettes, Beurre, Escargots, Lait","Graines de sésame, Lait, Mollusques, Crustacés"
Tarte au sucre,"Crème fraîche, Farine de blé, Huile végétale, Pommes de terre, Crevettes","Crème fraîche, Farine de blé, Huile végétale, Pommes de terre, Crevettes","Gluten, Lait, Crustacés"
Cassoulet,"Sauce soja, Carottes, Sésame, Oeufs, Chocolat noir","Sauce soja, Carottes, Sésame, Oeufs, Chocolat noir","Oeufs, Graines de sésame, Soja"
Omelette au fromage,"Crème fraîche, Sauce brune, Oeufs","Crème fraîche, Sauce brune, Oeufs","Gluten, Lait, Oeufs"
Magret de canard,"Farine de blé, Poisson, Tomates","Farine de blé, Poisson, Tomates","Gluten, Poisson"
Poulet rôti,"Sauce soja, Poisson, Noix de cajou, Poulet, Moutarde","Sauce soja, Poisson, Noix de cajou, Poulet, Moutarde","Fruits à coque, Poisson, Moutarde, Soja"
Poulet rôti,"Noisettes, Carottes, Fromage en grains","Noisettes, Carottes, Fromage en grains","Fruits à coque, Lait"
Fèves au lard,"Tomates, Pommes de terre, Noisettes, Oignons, Carottes, Vanille","Tomates, Pommes de terre, Noisettes, Oignons, Carottes, Vanille",Fruits à coque
Quiche lorraine,"Poulet, Sauce soja, Escargots, Poisson","Poulet, Sauce soja, Escargots, Poisson","Poisson, Mollusques, Soja"
Boeuf stroganoff,"Beurre, Oignons, Pain","Beurre, Oignons, Pain","Gluten, Lait"
Quiche lorraine,"Lait, Oeufs, Sésame","Lait, Oeufs, Sésame","Oeufs, Graines de sésame, Lait"
Pizza au fromage,"Farine de blé, Sauce soja, Escargots, Vanille","Farine de blé, Sauce soja, Escargots, Vanille","Gluten, Mollusques, Soja"
Saucisses et purée,"Poisson, Poulet, Chocolat noir, Boeuf haché, Farine de blé","Poisson, Poulet, Chocolat noir, Boeuf haché, Farine de blé","Gluten, Poisson"
Omelette au fromage,"Sauce soja, Poulet, Lait, Oeufs, Poisson","Sauce soja, Poulet, Lait, Oeufs, Poisson","Oeufs, Lait, Poisson, Soja"
Tarte au sucre,"Noix de cajou, Escargots, Pain","Noix de cajou, Escargots, Pain","Fruits à coque, Gluten, Mollusques"
Ratatouille,"Escargots, Oignons, Tomates, Pain, Poulet, Pâtes alimentaires","Escargots, Oignons, Tomates, Pain, Poulet, Pâtes alimentaires","Gluten, Mollusques"
Escargots à l'ail,"Noisettes, Pommes de terre, Sésame, Lait, Fromage en grains, Carottes","Noisettes, Pommes de terre, Sésame, Lait, Fromage en grains, Carottes","Fruits à coque, Graines de sésame, Lait"
Pot-au-feu,"Céleri, Farine de blé, Sauce brune, Vanille, Poulet, Oignons","Céleri, Farine de blé, Sauce brune, Vanille, Poulet, Oignons","Gluten, Céleri"
Coquilles Saint-Jacques,"Poisson, Sauce brune, Oeufs","Poisson, Sauce brune, Oeufs","Gluten, Oeufs, Poisson"
Tourtière,"Boeuf haché, Poisson, Huile végétale, Pommes de terre","Boeuf haché, Poisson, Huile végétale, Pommes de terre",Poisson
Raclette,"Noix de cajou, Moutarde, Pommes de terre, Poulet","Noix de cajou, Moutarde, Pommes de terre, Poulet","Fruits à coque, Moutarde"
Fondue au fromage,"Vanille, Noisettes, Escargots, Carottes","Vanille, Noisettes, Escargots, Carottes","Fruits à coque, Mollusques"
Gâteau au chocolat,"Escargots, Huile végétale, Oignons, Crème fraîche, Tomates, Moutarde","Escargots, Huile végétale, Oignons, Crème fraîche, Tomates, Moutarde","Moutarde, Lait, Mollusques"
Moules-frites,"Huile végétale, Escargots, Oignons, Farine de blé","Huile végétale, Escargots, Oignons, Farine de blé","Gluten, Mollusques"
Crème brûlée,"Crevettes, Crème fraîche, Céleri","Crevettes, Crème fraîche, Céleri","Lait, Céleri, Crustacés"
Filet de saumon,"Oeufs, Moutarde, Carottes, Poulet, Escargots","Oeufs, Moutarde, Carottes, Poulet, Escargots","Moutarde, Oeufs, Mollusques"
Moules-frites,"Farine de blé, Poisson, Oeufs","Farine de blé, Poisson, Oeufs","Gluten, Oeufs, Poisson"
Poulet à la crème,"Poisson, Boeuf haché, Pâtes alimentaires","Poisson, Boeuf haché, Pâtes alimentaires","Gluten, Poisson"
Tarte au sucre,"Noix de cajou, Sauce brune, Huile végétale, Oeufs","Noix de cajou, Sauce brune, Huile végétale, Oeufs","Fruits à coque, Gluten, Oeufs"
